# ASDA_DividendPayers_Teaching_2026.csv
#
# SIMULATED TEACHING DATASET - not real company data.
#
# Applied Statistical Data Analysis (FIN), FHNW School of Business
# Module 11: Binary Dependent Variables
#
# 500 simulated US-style listed firms, built so that the estimated logit is the
# one printed in the module:
#
#     payer ~ Lambda(-8.56 + 0.09*roa + 0.85*ln(mcap) - 2.07*leverage)
#
# with 62% payers, a log-likelihood of -239.0 against -332.0 for the
# constant-only model (McFadden 0.28), and a confusion matrix of 265 / 45 / 65 /
# 125 - 85% of the payers and 66% of the non-payers classified correctly, 78%
# overall against the naive 62% benchmark.
#
# Why a fixed file rather than a random draw: the lecture, the exercises and the
# solutions all quote the same estimates, so the sample behind them has to be
# fixed. The payer column was CONSTRUCTED, not drawn, so that the maximum
# likelihood estimates land on the printed coefficients. Firms are numbered, not
# named, because they are not real firms.
#
# columns
#   firm_id       anonymous firm label
#   payer         1 = pays a dividend, 0 = does not
#   roa_pct       return on assets, percent
#   mcap_usd_m    market capitalisation, USD millions
#   leverage      debt over assets, share between 0 and 1
#
firm_id,payer,roa_pct,mcap_usd_m,leverage
US484,1,14.593,110470.8,0.0368
US227,1,6.553,726419.6,0.3256
US208,1,14.152,18471.6,0.0727
US500,1,7.468,989431.6,0.5153
US188,1,16.211,34607.6,0.249
US136,1,-8.553,4098.6,0.1706
US118,0,9.971,3056.8,0.1887
US379,1,5.678,5091.9,0.5576
US153,1,15.309,52445.8,0.4024
US466,1,4.971,1019033.0,0.0843
US486,1,0.428,211729.9,0.2517
US396,1,-1.575,66395.1,0.2111
US433,1,8.263,200505.6,0.2644
US020,1,10.109,3557.3,0.28
US093,1,8.053,50473.4,0.2365
US357,1,8.525,79074.7,0.2769
US401,1,14.588,24076.6,0.2288
US099,1,13.831,134889.1,0.0268
US448,0,6.755,12502.0,0.3871
US301,1,-5.046,879467.1,0.4016
US416,1,5.553,97815.6,0.3236
US339,1,11.265,35323.9,0.1266
US167,1,0.366,92335.8,0.1052
US408,0,-3.817,93168.7,0.3151
US435,1,-2.977,42428.4,0.2765
US236,0,-0.822,14800.4,0.2503
US317,0,-5.689,202299.5,0.4908
US368,0,-3.199,72189.2,0.3715
US248,0,6.465,3942.5,0.097
US124,0,6.009,33952.1,0.3561
US411,1,10.763,349130.8,0.0989
US062,1,28.54,24430.6,0.446
US409,1,13.105,928262.7,0.5041
US440,0,-1.387,10501.2,0.3641
US036,1,11.702,48619.3,0.3747
US129,1,13.505,50584.8,0.3095
US037,0,6.168,26341.2,0.4709
US144,0,0.429,17396.7,0.0911
US389,0,19.976,8323.8,0.3087
US445,0,1.895,2609.2,0.5991
US173,0,14.182,6089.7,0.1888
US203,0,2.179,71357.5,0.4258
US378,1,23.014,19548.8,0.2784
US094,0,4.996,2887.2,0.4428
US100,0,7.162,17397.7,0.5493
US001,0,15.152,2955.4,0.3803
US244,0,3.245,95589.4,0.4577
US413,1,-4.15,3200000.0,0.1834
US038,1,4.422,11305.5,0.177
US026,1,12.384,123614.6,0.1799
US115,0,-8.819,19667.7,0.1717
US487,0,27.972,440958.8,0.2161
US441,1,17.907,26256.3,0.0504
US463,1,9.078,188658.9,0.0646
US319,1,4.491,99571.7,0.5054
US275,1,11.232,20130.3,0.5761
US424,1,-0.27,1200957.8,0.2402
US348,0,8.434,99567.9,0.2162
US162,1,1.376,193635.5,0.1563
US417,1,2.102,46358.7,0.1128
US180,1,-0.154,54969.2,0.0864
US338,1,16.381,60583.6,0.1915
US253,0,-3.627,14823.3,0.3432
US006,1,24.757,492903.0,0.2388
US133,1,5.36,21057.9,0.1765
US187,0,2.391,16772.6,0.4915
US335,0,-5.815,21942.1,0.1975
US083,1,10.439,423730.2,0.3533
US292,1,24.034,92728.4,0.2652
US090,0,17.247,52552.5,0.3228
US383,0,15.17,13059.6,0.2543
US321,1,11.023,375620.5,0.6219
US117,0,-6.152,1708.1,0.2836
US175,1,15.798,67663.3,0.3526
US324,0,1.207,5995.4,0.216
US068,0,17.399,47680.2,0.2675
US242,0,-5.361,42732.2,0.111
US237,1,26.913,435275.8,0.523
US075,0,-2.339,2946.3,0.278
US114,1,1.902,100065.3,0.3763
US140,1,-0.831,679547.7,0.3384
US352,1,15.413,178262.2,0.0963
US478,1,8.533,2783319.8,0.1195
US082,0,-2.505,38138.2,0.3535
US137,0,1.894,22487.7,0.5741
US415,0,-0.399,3157.7,0.3059
US123,1,13.476,244442.4,0.3321
US279,0,0.632,27506.1,0.5193
US116,1,8.147,274315.2,0.5673
US428,0,-1.247,36278.7,0.2807
US346,1,6.371,169220.2,0.0856
US457,1,-6.928,311402.7,0.2167
US042,1,21.965,95011.9,0.5572
US049,1,12.155,14399.2,0.2282
US164,0,1.049,10922.9,0.377
US139,0,2.662,41161.0,0.3874
US070,1,22.874,3200000.0,0.4377
US370,1,7.213,95203.9,0.543
US494,0,4.414,55025.0,0.3612
US206,0,12.621,4228.7,0.6576
US202,1,18.691,34130.2,0.177
US057,1,14.07,25377.5,0.33
US303,1,16.282,209360.9,0.3837
US308,0,-0.795,14926.3,0.7079
US298,1,-0.123,14030.6,0.0929
US382,0,15.765,5247.8,0.3881
US387,0,7.293,12952.8,0.3883
US010,1,4.464,320900.3,0.4276
US018,1,3.357,76305.0,0.0569
US032,0,11.291,12211.5,0.1467
US430,0,12.989,25465.2,0.4396
US169,1,4.223,131156.9,0.2597
US366,0,14.614,6916.0,0.2612
US031,1,13.443,93595.9,0.344
US056,0,2.328,537027.7,0.3976
US003,0,21.12,3053.5,0.5903
US102,0,-1.632,13710.9,0.2504
US332,0,1.55,394983.7,0.6665
US016,1,1.79,144646.5,0.4241
US141,0,10.727,12293.6,0.3738
US160,1,2.327,56602.0,0.0392
US398,1,16.282,41041.3,0.2449
US326,1,8.274,288842.2,0.0965
US111,1,7.541,31383.6,0.2844
US179,1,8.748,167072.6,0.1873
US421,1,21.199,167967.3,0.6448
US069,0,-3.054,9244.5,0.3916
US198,1,1.17,430917.2,0.1347
US255,1,11.905,566606.7,0.2953
US004,1,12.785,20832.3,0.2879
US260,1,6.543,159437.1,0.2119
US067,0,6.929,6456.0,0.0541
US489,1,5.196,34166.8,0.157
US470,0,3.646,36431.8,0.5097
US240,1,-5.004,223052.7,0.572
US192,1,5.679,486582.7,0.4255
US436,0,7.751,2530.7,0.4486
US257,1,4.648,306175.4,0.3789
US392,1,16.594,32110.4,0.6082
US455,0,2.073,22575.0,0.2111
US464,0,4.671,36665.2,0.1121
US450,1,25.509,46293.5,0.197
US079,1,8.352,131241.2,0.1329
US431,1,-0.632,382082.8,0.1223
US446,0,13.151,18619.3,0.4706
US176,1,1.862,55185.5,0.0706
US336,1,18.133,64371.3,0.099
US204,1,3.547,44534.8,0.3925
US475,1,14.593,3200000.0,0.3538
US091,0,3.078,46149.3,0.1071
US243,0,8.793,568.2,0.4326
US045,1,12.189,13056.9,0.2371
US367,1,1.25,183678.5,0.3775
US155,1,6.551,7852.8,0.2296
US359,1,-0.7,144869.4,0.1211
US005,1,6.686,9844.4,0.2335
US048,1,8.809,229325.9,0.3999
US286,0,15.127,34080.3,0.2121
US196,1,16.845,166195.0,0.4131
US126,0,-0.532,50671.0,0.2292
US306,0,0.422,69152.9,0.2373
US490,1,-1.444,86360.2,0.59
US469,1,12.609,35648.8,0.1823
US347,0,4.139,8956.3,0.404
US250,1,-3.956,21652.4,0.3815
US096,1,2.693,184207.1,0.4341
US011,1,24.294,46503.3,0.1522
US499,0,8.675,11952.2,0.5512
US481,0,11.658,32400.3,0.8302
US354,1,16.642,59434.7,0.6176
US214,1,7.852,2844621.9,0.5117
US456,0,4.64,18238.4,0.2482
US039,1,13.076,57195.5,0.1722
US472,1,15.546,12482.1,0.2025
US185,1,12.178,24589.6,0.3584
US077,1,13.378,21901.8,0.2839
US312,1,7.72,255659.1,0.2814
US410,0,11.192,15820.8,0.3564
US351,1,8.003,18755.3,0.2434
US418,0,2.123,21705.7,0.286
US296,0,0.668,2116.8,0.2958
US453,1,-2.89,23677.8,0.3997
US128,0,3.711,30108.8,0.3271
US391,1,20.769,172327.6,0.0999
US309,1,21.367,76613.2,0.1472
US364,0,14.24,22822.9,0.3908
US462,1,18.967,47260.3,0.2431
US015,1,2.804,1070834.4,0.4366
US232,0,1.539,118524.9,0.3309
US266,0,-5.359,2574.7,0.2808
US030,1,8.118,471695.6,0.5581
US318,0,4.417,246812.4,0.1571
US360,0,12.683,22281.8,0.3292
US251,0,1.64,19220.1,0.1615
US485,1,9.007,73083.9,0.5079
US454,0,8.418,20845.0,0.2965
US110,1,11.512,48692.1,0.3386
US333,1,-1.113,438927.2,0.0606
US186,0,1.812,13077.4,0.3471
US372,1,11.705,256038.0,0.5343
US194,0,-4.823,13779.6,0.3337
US316,1,17.894,22507.6,0.3581
US270,0,7.265,52544.8,0.3698
US041,1,17.113,126359.5,0.4421
US150,0,5.278,3153.8,0.2302
US149,1,5.155,59297.3,0.4251
US345,1,-0.183,118563.4,0.5482
US080,1,16.89,103200.5,0.6061
US161,1,6.673,196943.0,0.2489
US074,0,3.252,303228.0,0.3236
US493,0,17.654,3709.1,0.1917
US331,0,-6.319,6179.9,0.4506
US098,1,2.593,81153.3,0.4358
US304,1,4.763,64267.4,0.1443
US337,1,14.248,104825.2,0.2471
US273,1,15.147,451751.5,0.4748
US425,1,-13.849,24256.0,0.4437
US476,0,13.259,51030.8,0.1024
US158,0,10.863,2688.0,0.4612
US009,0,9.317,34047.3,0.2038
US256,0,0.35,6646.7,0.2365
US394,1,-1.221,1089585.9,0.1211
US307,0,-10.142,14176.5,0.2614
US071,1,7.435,37105.0,0.1925
US290,0,6.538,48745.6,0.3681
US283,1,12.475,275951.3,0.6631
US483,1,2.046,35373.1,0.5037
US060,0,13.695,75580.4,0.3721
US264,1,10.153,45319.0,0.0927
US145,1,7.149,19968.6,0.3116
US271,0,-1.028,144619.5,0.6584
US058,0,6.64,240658.4,0.3364
US293,1,6.946,2084022.8,0.2944
US200,1,9.089,309636.0,0.7922
US055,0,0.611,36805.8,0.4514
US262,1,10.841,128051.9,0.1673
US148,1,11.038,38021.1,0.3166
US249,1,8.167,19546.1,0.1956
