# ASDA_CorporateDefaults_Teaching_2026.csv
#
# SIMULATED TEACHING DATASET - not real borrower data.
#
# Applied Statistical Data Analysis (FIN), FHNW School of Business
# Module 11: Binary Dependent Variables - the probit default example
#
# 2000 simulated corporate borrowers, 60 of them defaulting within the year
# (3.0%), calibrated so that the estimated probit is the one printed in the
# module:
#
#     default ~ Phi(-1.65 + 2.00*leverage - 0.10*icr)
#
# so the two worked borrowers on the slide come out exactly: leverage 20% with
# an interest coverage of 8 gives an index of -2.05 and a default probability of
# 2.0%, leverage 65% with a coverage of 1.5 gives -0.50 and 30.9%.
#
# The outcome column was constructed - not drawn - so that the maximum
# likelihood estimates land on the printed coefficients. Borrowers are
# numbered, not named, because they are not real borrowers.
#
# columns
#   borrower_id   anonymous borrower label
#   default       1 = defaulted within the year, 0 = did not
#   leverage      debt over assets, share between 0 and 1
#   icr           interest coverage ratio, EBIT over interest expense
#
borrower_id,default,leverage,icr
B1520,0,0.1268,10.549
B1972,0,0.1527,6.876
B1852,0,0.4261,13.39
B0490,0,0.4728,7.627
B1018,0,0.2461,12.533
B1483,0,0.1618,4.232
B0977,0,0.3436,21.296
B1722,0,0.3548,5.664
B1943,0,0.3057,7.547
B0311,0,0.3898,10.796
B0921,0,0.4195,7.148
B1667,0,0.3618,13.877
B1736,0,0.3487,15.615
B0894,0,0.309,5.04
B0561,0,0.3454,13.206
B0343,0,0.1778,10.581
B1993,0,0.2388,12.237
B1302,0,0.3612,23.333
B0717,0,0.2258,9.026
B0617,0,0.1742,7.76
B1648,0,0.5705,11.957
B0815,0,0.2702,5.792
B0867,0,0.3112,10.538
B0150,0,0.2851,13.672
B1076,0,0.1557,16.887
B1644,0,0.2406,8.39
B0456,0,0.1723,10.308
B0831,0,0.1774,22.272
B1020,0,0.3541,11.067
B1392,0,0.1956,13.815
B0709,0,0.3599,10.931
B0237,0,0.3205,11.979
B1550,0,0.602,8.02
B0233,0,0.3003,11.078
B0901,0,0.2762,8.574
B0090,0,0.2273,11.532
B1461,0,0.3187,13.868
B0971,0,0.4225,9.005
B1779,0,0.208,17.997
B1787,0,0.2831,6.667
B0336,0,0.4629,14.039
B0671,0,0.381,5.533
B0463,0,0.3106,9.853
B0015,0,0.3924,13.133
B0569,0,0.2395,11.535
B0359,0,0.2206,8.185
B0272,0,0.2694,9.745
B1450,0,0.574,6.428
B1909,0,0.1028,11.193
B0866,0,0.098,10.332
B1860,0,0.2689,29.619
B0076,0,0.3514,7.204
B0287,0,0.1763,6.381
B0294,0,0.3438,14.617
B1702,1,0.5276,10.629
B0379,0,0.2353,8.993
B0276,0,0.3005,24.735
B0515,0,0.0601,9.098
B0577,0,0.3407,3.372
B0640,0,0.3012,5.953
B1121,0,0.4019,7.494
B1453,0,0.2757,12.92
B0903,0,0.1973,2.848
B0405,0,0.2736,9.008
B0349,0,0.4882,5.812
B0636,0,0.3456,11.295
B0512,0,0.1071,15.067
B0660,0,0.2886,9.843
B0460,0,0.4922,10.07
B1916,0,0.165,6.088
B1921,0,0.5479,7.646
B1406,0,0.2854,7.568
B0685,0,0.1485,25.397
B0103,0,0.2319,8.866
B0715,0,0.299,7.668
B0216,0,0.2874,7.941
B0318,0,0.3516,7.173
B0483,0,0.1432,8.09
B0770,0,0.3396,5.928
B1699,0,0.1632,6.99
B0939,0,0.3711,13.853
B0210,0,0.1423,18.276
B1147,0,0.5014,13.133
B0065,0,0.2475,7.649
B0916,0,0.202,16.514
B1135,0,0.2869,10.555
B1772,0,0.3881,8.024
B1291,0,0.281,6.181
B1321,0,0.3909,11.37
B1181,0,0.1622,16.109
B1027,0,0.0906,6.733
B1996,0,0.2811,8.219
B0721,0,0.2481,9.406
B0725,0,0.1102,4.391
B1522,0,0.1042,9.704
B1650,0,0.4016,11.766
B1941,0,0.1728,4.254
B0880,0,0.3133,7.695
B1145,1,0.4544,9.431
B1240,0,0.0656,5.689
B0714,0,0.3211,8.989
B0638,0,0.107,12.709
B0728,0,0.2422,3.453
B1559,0,0.4132,11.195
B0340,0,0.5044,5.432
B1236,0,0.2621,18.345
B1693,0,0.3989,20.19
B0989,0,0.2656,6.752
B1229,0,0.3639,9.762
B1936,0,0.2954,10.787
B1467,0,0.2125,10.498
B1298,0,0.5307,16.141
B1991,0,0.1246,7.532
B1464,0,0.3159,29.515
B1589,0,0.3017,7.415
B0615,0,0.0845,2.786
B1070,0,0.0739,8.481
B0175,0,0.5495,6.664
B0705,0,0.1595,14.096
B1781,0,0.2258,5.175
B1004,0,0.3091,5.299
B0006,0,0.4483,10.154
B1708,0,0.0989,8.104
B1920,0,0.3675,5.915
B1726,0,0.4333,14.871
B1908,0,0.02,13.154
B0610,0,0.2114,9.099
B0846,1,0.3197,6.559
B0837,0,0.1427,6.533
B0955,0,0.2064,21.127
B1538,0,0.3486,10.203
B1459,0,0.3862,15.793
B0825,0,0.2044,3.919
B1452,0,0.2567,4.619
B1709,0,0.3929,5.931
B1697,0,0.6027,30.0
B0606,0,0.2819,13.924
B0495,0,0.2829,10.013
B1758,0,0.1937,4.912
B0616,0,0.3435,9.667
B1761,0,0.339,14.282
B0279,0,0.2548,16.91
B1213,0,0.5373,7.584
B0830,0,0.2386,9.443
B1480,0,0.3648,9.518
B1896,0,0.2557,7.097
B0190,0,0.1631,7.772
B0280,0,0.02,20.047
B0038,1,0.254,5.648
B1942,0,0.1984,19.04
B1673,0,0.042,18.552
B1845,0,0.0817,4.517
B0032,0,0.3068,8.616
B1368,0,0.3378,7.661
B1288,0,0.1013,7.994
B1313,0,0.4151,6.414
B1694,0,0.2105,15.852
B1315,0,0.4833,8.671
B1052,0,0.2395,9.637
B0633,0,0.4119,13.294
B0808,0,0.2153,15.963
B1712,1,0.4586,3.342
B1928,0,0.4286,4.792
B0980,0,0.2088,5.726
B0957,0,0.3185,4.995
B1580,0,0.359,16.391
B1178,0,0.3455,16.561
B1698,0,0.3699,5.528
B1710,0,0.4529,11.316
B0467,0,0.3481,16.423
B0302,0,0.1552,17.933
B1428,0,0.4594,7.769
B0929,0,0.2529,18.456
B1549,0,0.4477,8.629
B1167,0,0.3222,7.06
B1578,0,0.1273,23.769
B1001,0,0.3649,3.844
B0637,0,0.4168,10.714
B0256,0,0.3616,6.806
B1284,0,0.3517,13.14
B0075,0,0.4569,9.542
B1951,0,0.322,14.928
B1679,0,0.0588,7.882
B1271,0,0.5048,11.566
B0120,0,0.3215,10.883
B0319,0,0.4145,6.255
B1945,0,0.2262,22.333
B0865,0,0.418,8.09
B1497,0,0.1736,12.204
B1106,0,0.473,8.73
B1234,0,0.3906,10.1
B0936,1,0.377,8.612
B1732,0,0.3082,6.808
B1125,0,0.2778,11.92
B0183,0,0.3854,17.355
B1707,0,0.2011,8.111
B1439,0,0.4322,7.279
B1719,0,0.2386,16.485
B1479,0,0.5566,6.292
B0419,0,0.3089,17.712
B1115,0,0.3884,12.109
B0683,0,0.0762,8.733
B1347,0,0.2812,11.69
B0003,0,0.2887,8.854
B1606,0,0.3395,10.572
B1384,0,0.1665,8.557
B0719,0,0.4182,13.691
B0926,0,0.4617,11.001
B1645,0,0.1994,9.085
B0968,0,0.4319,4.855
B0273,0,0.337,20.446
B1716,0,0.12,14.383
B0532,0,0.0999,10.715
B0160,0,0.4901,8.189
B1433,0,0.4148,11.423
B0503,0,0.2968,20.508
B0491,0,0.3541,3.373
B1492,0,0.117,6.475
B0480,0,0.2616,7.645
B1335,0,0.231,30.0
B1047,0,0.1314,7.264
B1711,0,0.3775,4.768
B1539,0,0.3171,30.0
B0360,0,0.1457,14.829
B1080,0,0.1252,6.48
B1050,0,0.3497,15.125
B1324,0,0.2711,11.067
B1132,0,0.2935,8.7
B0212,0,0.145,12.145
B0134,0,0.3926,28.372
B0737,0,0.2602,5.222
B0226,0,0.2011,13.698
B1350,0,0.0273,2.683
B0259,0,0.308,12.124
B0100,1,0.3564,10.648
B1074,0,0.4976,9.484
B0367,0,0.2567,8.795
B1177,0,0.2868,18.513
B1208,0,0.2883,12.994
B1680,0,0.5332,6.738
B0353,0,0.5296,11.807
B1911,0,0.0362,4.138
B0123,0,0.1968,10.661
B1782,0,0.4671,13.76
B0128,0,0.2101,5.44
B1021,0,0.3536,13.413
B1005,0,0.46,17.957
B0008,0,0.2247,11.354
B0757,0,0.086,7.175
B1560,0,0.2865,11.656
B1517,0,0.3103,7.705
B0826,0,0.4597,12.756
B0449,0,0.095,15.979
B0178,0,0.1225,6.659
B0743,0,0.3431,26.184
B0023,0,0.3597,9.487
B1610,1,0.4836,4.082
B1735,0,0.5162,10.743
B1641,0,0.4028,16.601
B0225,0,0.1475,9.741
B1388,0,0.422,4.971
B1541,0,0.2274,12.607
B0570,0,0.224,15.901
B0684,0,0.5288,3.499
B0762,0,0.2741,17.734
B1700,0,0.2317,4.848
B1327,0,0.2799,9.402
B0820,0,0.4693,10.565
B0712,0,0.1117,9.057
B1340,0,0.4066,6.444
B0475,0,0.2617,13.63
B1526,0,0.196,7.596
B1423,0,0.3827,20.444
B1569,0,0.2742,5.146
B0487,0,0.1733,4.046
B1316,0,0.3692,6.904
B1278,0,0.2575,14.496
B0664,0,0.1634,9.345
B1477,1,0.4063,4.314
B1478,0,0.6821,14.85
B0930,0,0.2864,16.149
B0362,0,0.3325,12.721
B1924,0,0.1623,7.778
B0910,0,0.4215,12.864
B0251,0,0.2792,14.406
B0270,0,0.3785,15.04
B1238,0,0.3407,6.692
B0250,0,0.3165,12.246
B0506,0,0.3325,6.816
B1273,0,0.1755,5.228
B0870,1,0.2019,8.63
B1348,0,0.1943,5.186
B0072,0,0.3055,8.235
B0305,0,0.4277,9.745
B1701,0,0.2258,13.269
B0377,0,0.2953,8.861
B1011,0,0.3146,9.917
B1019,0,0.4964,10.702
B0231,0,0.4855,19.276
B0856,0,0.2455,26.037
B1681,0,0.189,8.599
B1771,0,0.1884,10.291
B1521,0,0.3253,14.823
B0711,0,0.523,8.483
B1965,0,0.2716,14.523
B0547,0,0.273,9.493
B0426,0,0.2734,13.133
B0829,0,0.489,4.896
B0140,0,0.2623,7.828
B0586,0,0.3634,9.668
B0096,0,0.3357,8.768
B1979,0,0.3993,4.105
B0948,0,0.2191,11.546
B1165,0,0.3685,6.81
B1877,0,0.5097,7.275
B1458,0,0.3356,13.907
B1336,0,0.4011,10.863
B1519,0,0.2325,8.172
B0752,0,0.2395,16.469
B0325,0,0.28,2.252
B1025,0,0.4304,13.052
B1947,0,0.4076,15.014
B1343,0,0.1774,8.95
B0326,0,0.1619,15.451
B1466,0,0.3608,16.798
B1066,0,0.2767,6.934
B1427,0,0.2751,5.648
B0282,0,0.1847,4.459
B1028,0,0.2249,10.514
B0896,0,0.1392,4.554
B0528,0,0.3482,7.223
B0317,0,0.3254,5.667
B1818,0,0.0356,13.383
B1307,0,0.3583,8.923
B0722,0,0.2792,6.184
B1581,0,0.3566,22.971
B0556,0,0.2008,9.701
B0560,0,0.4384,4.846
B1426,0,0.2204,16.285
B1176,0,0.1858,8.233
B1970,0,0.2698,3.271
B1312,0,0.5397,7.721
B1527,0,0.4612,17.546
B1982,0,0.3304,11.526
B0923,0,0.4093,15.632
B0203,0,0.4336,4.73
B0679,0,0.2963,25.982
B0191,0,0.3804,14.934
B0443,0,0.2326,20.844
B1612,0,0.4768,8.114
B1886,0,0.3534,18.418
B0860,0,0.398,5.11
B1456,0,0.334,8.066
B0494,0,0.1834,10.855
B1323,0,0.3168,16.058
B0172,0,0.3199,10.462
B1636,0,0.1896,4.516
B1961,0,0.0388,6.089
B1110,0,0.167,13.759
B1744,0,0.2426,11.565
B1087,0,0.3273,7.946
B1046,0,0.0502,15.73
B0061,0,0.3785,6.923
B1156,0,0.457,11.849
B1743,0,0.4063,5.342
B0754,0,0.15,10.402
B1753,0,0.2738,13.385
B1039,0,0.4079,10.012
B0650,0,0.492,11.292
B1990,0,0.1611,13.065
B0171,0,0.4081,6.51
B1482,0,0.3761,4.496
B0173,0,0.303,30.0
B0122,0,0.2663,8.078
B1561,0,0.3186,3.062
B0984,0,0.2485,30.0
B0132,0,0.1901,6.688
B1283,0,0.2929,6.588
B0700,0,0.2241,4.992
B1900,0,0.2192,15.893
B0108,0,0.1053,11.88
B1635,0,0.3527,10.025
B1221,0,0.4034,4.849
B0513,0,0.4305,17.813
B1251,0,0.2958,9.811
B0604,0,0.3293,13.755
B0852,0,0.352,7.923
B0391,0,0.2446,5.482
B1595,0,0.3236,5.741
B0667,0,0.1564,20.823
B1583,0,0.1177,25.399
B1219,0,0.3496,13.807
B0727,0,0.21,4.401
B0782,0,0.2708,13.777
B0776,1,0.353,3.186
B0614,1,0.5203,8.783
B1925,0,0.3134,9.954
B1604,0,0.408,9.75
B0185,0,0.3834,8.788
B0839,0,0.1916,10.317
B1760,0,0.4836,11.786
B0121,0,0.345,14.084
B0735,0,0.4432,4.856
B1500,0,0.5171,6.22
B1153,0,0.1995,11.182
B0707,0,0.4435,5.797
B0093,0,0.2402,13.397
B1575,0,0.2678,5.675
B1574,0,0.496,23.38
B1792,0,0.047,6.887
B1376,0,0.18,8.044
B0368,0,0.1852,11.411
B0941,0,0.2008,4.427
B0350,0,0.3422,21.049
B1913,0,0.1226,13.999
B0197,0,0.2717,20.526
B0748,0,0.1756,9.041
B1447,0,0.3026,14.632
B0427,0,0.5522,3.314
B0102,0,0.3649,6.68
B1064,0,0.2288,23.014
B0514,1,0.4786,5.385
B1535,0,0.1627,9.5
B1955,0,0.425,9.296
B1399,0,0.3056,9.76
B0907,0,0.3215,12.84
B0167,0,0.3402,5.899
B0062,0,0.2663,7.521
B0966,0,0.5411,10.736
B1609,0,0.3024,17.886
B1668,0,0.404,14.758
B1371,0,0.3625,11.287
B1081,0,0.3866,5.164
B0421,0,0.2021,5.425
B0855,0,0.1757,6.063
B1189,0,0.02,7.316
B1703,0,0.2999,16.213
B1161,0,0.1824,6.179
B0649,0,0.1298,23.242
B0166,0,0.1449,8.662
B1543,0,0.2648,10.063
B1655,0,0.4619,8.818
B1416,0,0.3671,10.377
B0107,0,0.2081,6.39
B0713,0,0.1317,7.868
B0218,0,0.3087,8.035
B0799,0,0.1509,4.898
B1591,0,0.2297,12.454
B1833,0,0.3987,6.551
B1973,0,0.0618,8.515
B1832,0,0.5512,28.641
B1309,0,0.2166,7.539
B0087,0,0.4141,7.454
B1813,0,0.1295,11.734
B1223,0,0.2323,7.133
B0524,0,0.3659,14.305
B1808,0,0.2899,30.0
B0522,0,0.1904,10.352
B1272,0,0.4899,10.881
B0115,0,0.3856,4.194
B0431,0,0.0414,7.152
B1333,0,0.205,8.284
B1751,0,0.0677,11.951
B1269,0,0.2428,5.932
B0219,0,0.02,7.922
B1265,0,0.02,9.309
B1100,0,0.2188,8.342
B0882,0,0.3162,6.5
B1401,0,0.3349,4.64
B0246,0,0.2635,19.336
B0458,1,0.2189,2.804
B1329,0,0.0906,7.386
B1608,0,0.5061,5.856
B0289,0,0.2773,13.477
B1677,0,0.1899,6.475
B1089,0,0.0724,11.795
B1228,0,0.0825,4.435
B1834,0,0.322,3.605
B1746,0,0.2785,8.923
B0933,0,0.3652,26.546
B0047,0,0.379,9.894
B0607,0,0.4597,10.955
B0262,0,0.1944,11.81
B0051,0,0.02,9.144
B0578,0,0.02,17.714
B0174,0,0.2509,14.904
B1436,0,0.2688,10.727
B1437,0,0.3707,7.975
B1400,0,0.2373,10.421
B0156,0,0.2374,6.629
B0591,0,0.2369,14.123
B1365,0,0.1319,3.971
B0643,0,0.4412,14.65
B0454,0,0.1355,5.231
B0198,0,0.2235,19.054
B0026,0,0.4464,9.624
B0148,0,0.3266,3.578
B0938,0,0.1271,7.225
B0124,0,0.3063,5.939
B0402,0,0.3478,11.925
B1056,0,0.2,9.545
B1801,0,0.4427,12.59
B1552,0,0.3343,5.482
B1607,0,0.2583,7.415
B0118,0,0.02,14.571
B1652,0,0.2676,25.876
B0346,0,0.0784,10.98
